Frame;Winkel
0;81
1;82
2;87
3;91
4;94
5;98
6;110
7;118
8;121
9;129
10;137
11;143
12;146
13;144
14;134
15;129
16;123
17;120
18;108
19;98
20;95
21;86
22;76
23;81
24;77
25;80
26;84
27;87
28;97
29;100
30;105
31;115
32;120
33;131
34;138
35;148
36;150
37;146
38;137
39;129
40;125
41;112
42;109
43;100
44;87
45;81
46;81
47;75
48;82
49;83
50;90
51;97
52;97
53;104
54;114
55;119
56;128
57;136
58;144
59;146
60;144
61;135
62;130
63;124
64;119
65;107
66;96
67;88
68;80
69;84
70;83
71;82
72;84
73;88
74;95
75;98
76;108
77;118
78;125
79;137
80;142
81;148
82;146
83;141
84;130
85;126
86;119
87;105
88;93
89;85
90;75
91;77
92;82
93;76
94;79
95;84
96;93
97;98
98;110
99;117
100;122
101;131
102;147
103;149
104;146
105;136
106;125
107;123
108;116
109;102
110;93
111;81
112;77
113;75
114;74
115;75
116;84
117;92
118;96
119;106
120;115
121;122
122;128
123;147
124;149
125;146
126;137
127;125
128;122
129;111
130;103
131;95
132;82
133;77
134;78
135;75
136;77
137;87
138;95
139;97
140;111
141;120
142;136
143;143
144;151
145;150
146;139
147;126
148;123
149;109
150;99
151;91
152;79
153;84
154;77
155;76
156;85
157;95
158;100
159;102
160;116
161;126
162;141
163;150
164;150
165;140
166;133
167;125
168;112
169;100
170;92
171;79
172;77
173;75
174;76
175;85
176;94
177;98
178;108
179;115
180;125
181;133
182;150
183;150
184;136
185;131
186;124
187;117
188;101
189;91
190;79
191;79
192;74
193;76
194;82
195;94
196;95
197;110
198;117
199;126
200;143
201;149
202;147
203;133
204;125
205;118
206;104
207;92
208;88
209;78
210;74
211;73
212;78
213;93
214;98
215;101
216;116
217;122
218;135
219;150
220;148
221;142
222;131
223;123
224;115
225;98
226;89
227;83
228;78
229;74
230;76
231;85
232;99
233;101
234;109
235;118
236;126
237;141
238;149
239;147
240;135
241;126
242;116
243;107
244;97
245;88
246;77
247;76
248;76
249;79
250;90
251;96
252;103
253;118
254;122
255;135
256;148
257;145
258;141
259;129
260;123
261;114
262;94
263;85
264;80
265;74
266;75
267;77
268;86
269;96
270;99
271;113
272;120
273;127
274;143
275;146
276;143
277;133
278;124
279;118
280;102
281;89
282;83
283;74
284;73
285;79
286;84
287;93
288;97
289;105
290;117
291;130
292;146
293;149
294;141
295;134
296;126
297;115
298;99
299;90
300;80
301;75
302;73
303;77
304;85
305;94
306;97
307;115
308;119
309;129
310;146
311;150
312;141
313;131
314;122
315;116
316;98
317;89
318;75
319;73
320;72
321;80
322;84
323;96
324;102
325;113
326;124
327;134
328;146
329;142
330;135
331;123
332;116
333;97
334;90
335;81
336;81
337;76
338;78
339;87
340;98
341;104
342;113
343;119
344;129
345;144
346;146
347;135
348;124
349;121
350;107
351;97
352;89
353;75
354;73
355;77
356;87
357;95
358;107
359;116
360;125
361;141
362;147
363;145
364;132
365;124
366;109
367;93
368;87
369;75
370;82
371;76
372;81
373;94
374;96
375;104
376;115
377;121
378;138
379;146
380;139
381;127
382;122
383;113
384;95
385;88
386;74
387;71
388;82
389;86
390;92
391;94
392;114
393;118
394;130
395;142
396;145
397;140
398;126
399;120
400;105
401;97
402;82
403;79
404;78
405;75
406;85
407;96
408;102
409;113
410;119
411;134
412;145
413;148
414;136
415;125
416;114
417;100
418;90
419;83
420;76
421;74
422;78
423;87
424;96
425;101
426;110
427;118
428;132
429;140
430;140
431;132
432;124
433;118
434;100
435;81
436;80
437;75
438;79
439;95
440;97
441;113
442;121
443;137
444;146
445;140
446;125
447;122
448;105
449;92
450;78
451;81
452;76
453;78
454;94
455;96
456;112
457;127
458;136
459;145
460;144
461;128
462;124
463;101
464;92
465;82
466;81
467;76
468;83
469;97
470;100
471;111
472;121
473;136
474;142
475;139
476;127
477;119
478;107
479;93
480;79
481;76
482;75
483;84
484;95
485;100
486;113
487;121
488;131
489;146
490;140
491;128
492;121
493;106
494;92
495;79
496;76
497;75
498;83
499;98
500;103
501;114
502;122
503;136
504;144
505;139
506;127
507;118
508;99
509;90
510;79
511;80
512;76
513;82
514;96
515;100
516;112
